"sample_name","species","taxid","reads_dir","reference_path","illumina_1","illumina_2"
"ATCC_10708__202309","Salmonella_enterica","28901","source1","source2","source3","source4"
"ATCC_17802__202309","Vibrio_parahaemolyticus","670","source1","source2","source3","source4"
"ATCC_25922__202309","Escherichia_coli","562","source1","source2","source3","source4"
"ATCC_33560__202309","Campylobacter_jejuni","197","source1","source2","source3","source4"
"ATCC_35221__202309","Campylobacter_lari","201","source1","source2","source3","source4"
"ATCC_19119__202309","Listeria_ivanovii","1638","source1","source2","source3","source4"
"ATCC_35897__202309","Listeria_welshimeri","1643","source1","source2","source3","source4"
"ATCC_BAA-679__202309","Listeria_monocytogenes","1639","source1","source2","source3","source4"
"BPH2947__202310","Staphylococcus_aureus","1280","source1","source2","source3","source4"
"AJ292__202310","Klebsiella_variicola","244366","source1","source2","source3","source4"
"KPC2__202310","Klebsiella_pneumoniae","573","source1","source2","source3","source4"
"RDH275__202311","Streptococcus_pyogenes","1314","source1","source2","source3","source4"
"MMC234__202311","Streptococcus_dysgalactiae","1334","source1","source2","source3","source4"
"AMtb_1__202402","Mycobacterium_tuberculosis","1773","source1","source2","source3","source4"
